Open,High,Low,Close,Adj Close,Volume
41.45,42.25,41.0,41.5,35.16,27764700
41.84,44.8,41.83,43.5,36.86,44035100
44.41,45.1,43.7,44.61,37.8,36484800
45.0,45.57,44.53,44.96,38.09,29528100
45.2,45.82,44.95,45.46,38.52,28628200
45.04,47.14,44.75,46.84,39.69,38246200
47.46,48.17,46.91,47.88,40.57,36915100
48.53,48.71,47.69,48.42,41.03,29000300
48.5,51.08,48.5,50.31,42.63,35474800
48.91,49.08,47.29,47.89,40.58,42411300
48.45,49.44,48.35,48.84,41.38,24932600
49.11,49.74,48.99,49.53,41.97,22342400
49.33,49.39,47.68,48.11,40.76,29044500
47.01,47.64,46.64,47.43,40.19,23264800
46.9,47.05,46.16,46.9,39.74,26395800
47.26,47.86,45.85,45.87,38.87,23976800
45.0,46.66,44.53,45.35,38.43,32410300
45.94,46.59,45.69,46.06,39.03,24967200
45.55,46.04,44.51,44.84,37.99,38961100
45.58,45.58,44.29,44.92,38.06,24412400
45.81,46.99,45.28,45.63,38.66,31940400
45.63,47.67,45.42,47.42,40.18,28459300
47.88,48.38,47.25,48.33,40.95,25280300
49.18,50.12,49.04,49.95,42.32,34980100
50.92,52.36,50.71,52.1,44.14,36998700
50.67,50.96,49.77,50.63,43.63,28977000
50.63,51.42,50.39,51.12,44.05,25723800
50.89,50.93,48.78,49.84,42.95,26972200
49.43,50.71,49.41,50.52,43.53,19756700
51.96,52.53,51.62,52.04,44.84,28060100
52.35,53.27,51.8,52.85,45.54,25509700
52.81,52.94,51.86,52.02,44.83,20627600
52.11,52.56,51.92,52.37,45.13,22607200
52.59,54.81,52.59,54.3,46.79,36435100
54.98,55.26,53.74,55.05,47.44,33527900
55.19,57.0,54.87,56.7,48.86,28728600
56.98,57.25,55.35,55.76,48.05,29670900
54.41,55.06,53.12,54.37,46.85,35291000
56.47,57.61,56.13,56.4,48.6,36998300
56.65,56.96,56.02,56.07,48.32,30302600
56.42,57.96,55.88,56.52,48.7,35358900
57.12,59.47,57.1,58.71,50.59,52137500
59.83,61.05,59.11,60.93,52.5,51429800
61.58,61.61,59.82,60.87,52.45,38154600
60.61,61.39,59.47,59.93,51.64,35645900
60.52,61.92,60.03,61.77,53.23,31579100
61.78,62.55,61.26,61.31,52.83,24802600
61.55,62.37,61.5,61.97,53.4,20422700
61.49,61.86,59.87,60.39,52.04,31243600
59.54,59.66,58.44,59.11,50.93,30624800
58.69,59.73,58.62,59.37,51.16,25575500
58.81,58.97,56.52,56.81,48.95,38622800
56.71,57.47,55.81,56.49,48.68,84439400
56.5,56.86,55.9,55.91,48.18,29315100
54.94,56.29,54.45,55.22,47.58,33493300
56.08,57.28,56.08,56.34,48.55,29781800
55.21,56.5,54.5,56.18,48.41,31495900
57.3,57.78,56.52,57.71,49.73,34226500
57.34,57.82,56.74,57.4,49.46,21144400
56.86,57.36,56.49,56.69,48.85,20303400
56.35,56.63,55.8,55.83,48.11,23686500
56.32,57.45,56.14,57.39,49.45,23194500
57.3,57.32,56.14,56.5,48.69,23264800
56.84,57.54,56.26,56.34,48.55,18926300
56.39,56.77,56.24,56.59,48.76,22385000
55.93,56.08,55.32,56.0,48.25,21999300
56.0,56.44,55.53,55.87,48.14,20020700
56.76,56.79,55.31,55.5,47.82,20238800
55.3,55.98,55.09,55.71,48.01,19370600
56.41,58.01,56.25,57.32,49.39,28051100
57.42,57.42,56.78,56.98,49.1,23250300
57.36,57.68,56.44,56.66,48.82,22752000
56.75,57.14,55.96,56.48,48.67,21123300
56.47,56.47,54.78,55.29,47.64,21782100
54.5,56.13,54.3,56.0,48.25,16625600
55.99,55.99,55.02,55.27,47.63,21600100
55.27,55.94,55.18,55.57,47.88,15337900
55.47,56.29,55.44,55.68,47.98,16083800
56.01,56.63,55.81,56.41,48.61,19278600
56.91,58.46,56.79,58.11,50.07,24729800
58.92,59.48,58.15,58.94,50.79,27318400
58.33,58.89,57.16,57.24,49.32,30518400
57.98,58.99,57.74,58.82,50.68,20509600
59.0,59.5,58.51,59.19,51.0,23522200
59.77,61.05,59.4,60.97,52.54,31526200
60.86,61.64,60.03,61.55,53.04,26836800
61.07,62.47,60.85,62.43,53.8,33610600
63.24,64.02,62.53,62.58,53.92,31956600
61.63,62.39,60.39,60.59,52.21,34563800
60.01,61.68,59.75,60.04,52.49,34426500
59.0,60.45,58.75,59.3,51.84,24268200
59.93,60.88,59.93,60.77,53.13,20735400
60.54,62.25,60.43,62.19,54.37,25282500
62.0,62.3,60.4,60.43,52.83,25170800
59.1,59.86,58.42,58.98,51.56,28889800
58.95,59.15,58.24,58.84,51.44,20692500
59.42,59.83,58.85,58.92,51.51,20792700
59.08,59.8,58.69,59.61,52.11,18400300
59.5,59.54,58.12,58.26,50.93,25616100
58.25,59.12,57.9,58.94,51.53,21698700
59.23,59.7,58.02,58.56,51.2,33556000
58.73,58.8,58.11,58.37,51.03,19246800
59.45,60.7,59.45,60.46,52.86,28474200
60.75,61.31,60.17,60.94,53.28,22978300
60.55,61.41,60.35,61.18,53.49,20272800
61.46,61.7,60.78,61.45,53.72,20427800
61.33,61.73,61.02,61.05,53.37,15477900
61.5,62.48,60.67,62.13,54.32,28953400
62.67,63.42,62.19,62.65,54.77,29133000
63.61,63.98,62.25,62.75,54.86,27488700
63.01,63.19,62.14,62.17,54.35,17631700
62.3,62.78,61.57,62.07,54.26,16997200
62.48,64.4,62.35,64.33,56.24,30717100
64.32,64.8,63.56,64.1,56.04,24803200
63.86,64.46,61.27,61.99,54.19,28491800
61.0,61.55,60.24,60.4,52.8,39590700
60.93,62.7,60.9,62.59,54.72,33145400
62.85,64.01,62.23,63.79,55.77,25140400
64.05,64.7,63.58,64.26,56.18,20701600
64.15,64.56,63.81,64.52,56.41,19568400
64.61,64.93,64.36,64.66,56.53,18438300
64.56,64.56,62.75,63.01,55.09,20570000
63.21,63.77,62.59,62.62,54.75,19579300
62.7,63.23,62.45,63.08,55.15,17875500
64.33,64.42,62.77,63.26,55.3,22530300
63.01,63.32,62.42,63.17,55.23,14555300
62.75,62.76,60.9,61.37,53.65,22110800
61.18,61.81,59.62,60.41,52.81,21671400
59.45,60.71,59.31,60.14,52.58,18935900
60.7,61.45,60.24,61.23,53.53,20086000
60.42,61.5,60.16,61.17,53.48,21809400
61.0,61.51,60.51,60.88,53.22,17147300
61.17,61.73,59.36,59.53,52.04,21573600
59.17,59.7,58.77,58.95,51.54,15851100
59.18,59.26,57.15,57.32,50.11,27049500
55.64,56.2,54.6,55.35,48.39,37969100
55.5,56.6,55.03,55.96,48.92,26756100
56.86,58.3,56.83,57.76,50.5,20908700
57.73,57.74,56.66,57.11,49.93,13493800
57.29,57.29,56.47,57.04,49.87,14088200
57.16,58.65,57.0,58.48,51.13,18387600
58.01,58.01,57.21,57.83,50.56,16861400
58.0,58.63,57.62,58.22,50.9,16855300
59.0,59.33,58.56,58.93,51.52,18607800
58.88,58.88,57.32,57.57,50.33,28652800
57.55,59.06,57.4,57.58,50.34,20873800
57.57,58.41,56.93,58.2,50.88,18208200
57.19,57.88,56.81,56.84,49.69,20868300
57.13,57.7,56.83,57.2,50.01,15180200
57.66,58.07,57.53,57.86,50.58,14888500
57.13,57.52,56.83,57.2,50.01,17828200
57.42,58.36,57.3,58.18,50.86,16340200
58.19,58.5,57.72,58.35,51.01,18278600
57.4,57.79,56.87,57.35,50.9,19225500
57.03,57.07,56.3,56.77,50.38,20063000
56.02,56.09,55.27,55.94,49.65,16959500
55.5,56.3,55.0,55.56,49.31,16243700
55.42,55.81,54.31,54.39,48.27,21890500
53.47,53.71,52.1,52.73,46.8,30923500
52.27,53.14,52.11,52.74,46.81,16918300
53.95,55.06,53.95,54.91,48.73,21632600
55.29,55.85,55.01,55.36,49.13,17915600
55.24,55.77,54.87,55.46,49.22,13270300
55.2,55.54,54.63,54.71,48.55,11842600
55.4,56.21,55.4,55.77,49.49,15822500
56.24,56.34,55.12,55.16,48.95,14086100
54.93,55.31,54.46,54.52,48.39,27104100
54.49,54.76,53.6,53.77,47.72,21644100
54.29,55.64,54.27,55.08,48.88,23293300
55.12,55.32,54.6,54.87,48.7,13840000
54.67,55.27,54.47,54.55,48.41,14354400
54.79,55.18,54.01,54.05,47.97,18756700
53.62,55.0,53.3,54.09,48.0,19110800
55.19,55.23,53.95,53.98,47.91,15123700
54.65,55.93,54.62,55.37,49.14,22052300
55.69,55.77,54.41,54.58,48.44,19940300
55.37,56.53,55.31,56.42,50.07,23240900
56.46,56.46,55.5,55.82,49.54,17907200
55.34,56.75,55.1,55.16,48.95,30000400
53.78,54.17,52.96,53.69,47.65,27555100
54.37,54.51,53.25,53.64,47.6,19696800
54.43,55.91,54.37,55.21,49.0,25690600
55.42,57.24,55.28,57.08,50.66,23069400
56.7,57.82,56.68,57.59,51.11,22328600
58.85,59.8,58.82,59.3,52.63,32972200
59.9,60.48,59.51,59.92,53.18,37619300
59.84,60.19,59.05,59.88,53.14,23422800
60.12,60.17,58.81,58.82,52.2,31289600
59.41,60.99,59.41,60.93,54.07,24407300
61.32,62.07,60.95,61.72,54.78,33946700
62.52,62.7,61.02,61.62,54.69,29641600
60.47,61.12,59.75,60.49,53.68,25284900
60.61,61.08,60.14,60.66,53.83,19513600
61.25,62.42,61.25,62.18,55.18,22186900
63.03,63.06,61.5,61.56,54.63,22121500
61.57,61.98,60.85,61.24,54.35,20198600
60.78,61.39,60.21,61.07,54.2,14991700
61.71,62.22,61.17,62.0,55.02,18594500
62.73,63.07,62.44,62.59,55.55,16092600
63.09,63.14,62.27,62.56,55.52,18282800
62.87,63.61,62.67,63.5,56.36,18933200
62.89,63.87,62.72,63.85,56.67,14305200
63.47,63.64,62.35,62.69,55.64,16564600
62.77,63.22,62.35,63.12,56.02,14266800
63.72,64.42,63.58,64.35,57.11,17939800
64.49,65.94,64.36,65.84,58.43,25585100
65.16,65.25,63.98,64.13,56.91,21764500
63.82,64.47,63.63,64.31,57.07,16626400
65.05,65.36,64.33,64.47,57.22,23966300
65.07,66.08,65.02,65.63,58.25,19656400
65.03,65.45,64.66,64.82,57.53,16300000
64.04,64.45,63.66,63.93,56.74,17372800
64.68,64.89,63.83,64.41,57.16,17720100
65.05,65.33,64.56,65.02,57.7,18565100
65.55,66.38,65.38,65.72,58.33,17696000
65.77,66.37,65.31,66.36,58.89,18781300
65.32,65.65,63.77,64.19,57.73,20177200
64.19,64.83,64.02,64.31,57.84,13319300
63.96,64.37,63.58,63.82,57.4,18158900
63.76,64.77,63.22,64.37,57.89,18849200
64.34,65.37,64.34,65.02,58.48,17028700
64.38,65.24,64.18,64.31,57.84,15497000
64.16,64.53,63.11,63.61,57.21,16948200
61.89,62.03,60.41,60.67,54.57,32035500
60.32,62.54,60.32,61.51,55.32,21994400
62.19,63.38,61.92,63.13,56.78,21185900
62.58,63.85,62.58,63.48,57.09,15869700
60.52,61.42,59.54,61.25,55.09,24979600
62.57,63.14,61.29,61.59,55.39,18946400
60.46,61.19,59.66,59.84,53.82,34979800
60.9,62.03,59.75,59.79,53.78,30630600
59.74,61.58,59.14,61.28,55.12,29216000
61.92,62.23,60.35,60.89,54.76,22014700
